accountId,paraId,amount,block_num
14GDLpUspmeGMzditqt5NnJKoX1BKcDmBfYyWLeLQra8qQjo,2040,360000000000,10178048
13ScY7PedawWznN1876Xjc3skK9fgU2BKCF2Zgk22ncxeZqV,2040,16320000000000,10178043
1gn8hDPuGrv5EdKjewvCbS3Dx5Mig1NhrwZF4nDN6icDL14,2040,700000000000,10178018
1bvCxegzVfz57wqWXYhJeLY4QRtkRAacGSVZfvz8FEyDR1E,2040,50000000000,10177989
13VW88kzZL7T9zrB2cwUwVCSaKw57KzSwqTZP44kQWKGSLrR,2040,50000000000,10177984
13uEs1f57EXxFwwvZPMVYMjyM7GJpQi1kb61p19orPTxzH2D,2040,1500000000000,10177926
13XsVQJDSuPSEghLdKeFaqVhjUSB9HtmeywLhcgcBRNxL6s3,2040,1000000000000,10177887
126srLk854vZqq4S4QTHrjrG2sL1xTF6iA8rYMkJVvwMBQjf,2040,50000000000,10177830
13dHDNwGRc11TAtZ3suBgvCjiKUwZxnyCiRwRYgfsZFTiHBC,2040,100000000000,10177803
16ks9A9xeSuQDwCPT9rBdUS9x9tZM9Mf2H96SeVVymAotG1i,2040,200000000000,10177746
13Sphfb4qYqajFeTVi7rJBAb87WF5eaVw167Zm4NE3aaH25i,2040,50000000000,10177626
1vefmpKaAKTs4deTCJqn6Q6Z4bFzQzGictyjvvf4FuKYwpf,2040,50000000000,10177625
13obFBgHvF67Jh69bMJ5XJPKx4j84JCKkxQiQTTgQz5gwXwb,2040,50000000000,10177623
14d1LxVTV6RUwV3UnCTmBHAL3PRTZcztxPUZkBRawKBGd4Ng,2040,100000000000,10177607
134F88t2udJPG5cy8Km24Fk9RMVaE2bi5V5SZFjeB2TJCfsB,2040,95000000000,10177595
12eJtGnqoVSMRAPbCv4FSrpQdA2iQLenAWKZk5NcLdSqL2Gb,2040,50000000000,10177527
